order,file_path,thumbnail,width,height,id,name,source_url
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0084/2249,616,922,867/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0084/2249,616,922,867/pct:100/0/default.jpg",1842.7076509457738,1733.600086576872,5630,gdcustel.usteledirec03932_0084_a_bg_2248.830718752902-615.0961167214437,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=85
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0084/2243,1470,916,607/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0084/2243,1470,916,607/pct:100/0/default.jpg",1830.584574294815,1212.3077528509589,5631,gdcustel.usteledirec03932_0084_a_bg_2242.7691804274227-1469.77308248137,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=85
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0075/2292,611,898,534/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0075/2292,611,898,534/pct:100/0/default.jpg",1794.2154567242715,1066.830831318704,5632,gdcustel.usteledirec03932_0075_a_bg_2291.2616305465353-610.455256146184,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=76
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/495,637,897,1548/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/495,637,897,1548/pct:100/0/default.jpg",1793.2214288583752,3095.230441975892,5633,gdcustel.usteledirec03932_0139_a_bg_494.1603614951297-636.2089340581423,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/489,2170,906,246/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/489,2170,906,246/pct:100/0/default.jpg",1810.9760964708341,491.21247931930975,5634,gdcustel.usteledirec03932_0139_a_bg_488.2421389576433-2169.0285984400853,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1391,634,888,148/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1391,634,888,148/pct:100/0/default.jpg",1775.4667612459161,295.9111321200662,5635,gdcustel.usteledirec03932_0139_a_bg_1390.7710759243173-633.2498227369416,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1376,788,900,151/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1376,788,900,151/pct:100/0/default.jpg",1799.1396513958612,301.82935476246735,5636,gdcustel.usteledirec03932_0139_a_bg_1375.9755195806013-787.1236114393761,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1379,950,906,243/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1379,950,906,243/pct:100/0/default.jpg",1810.976096470834,485.2942566769084,5637,gdcustel.usteledirec03932_0139_a_bg_1378.9346308493446-949.8747341054125,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1391,1205,891,2030/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/1391,1205,891,2030/pct:100/0/default.jpg",1781.3849837834023,4059.900732687308,5638,gdcustel.usteledirec03932_0139_a_bg_1390.771075924317-1204.3583077286694,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/2282,628,891,3469/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0139/2282,628,891,3469/pct:100/0/default.jpg",1781.384983783402,6936.156936894347,5639,gdcustel.usteledirec03932_0139_a_bg_2281.463567816018-627.3316000945402,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=140
11,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/3410,650,922,706/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:39:32:usteledirec03932:usteledirec03932_0067/3410,650,922,706/pct:100/0/default.jpg",1842.6467311754016,1411.1136057411718,5932,gdcustel.usteledirec03932_0067_b_bg_138.07974036636634-649.4574852111509,https://www.loc.gov/resource/usteledirec.usteledirec03932/?sp=68
